,url,year,imdb_link,title,Based on,Starring,Cinematography,Release date,Country,Language,Director,Distributor,Editor(s),Composer(s),Producer(s),Production company(s),Writer(s),imdb_id,box_office,budget,release_date,running_time
6623,https://en.wikipedia.org/wiki/I_Don%27t_Feel_at_Home_in_This_World_Anymore,2017,https://www.imdb.com/title/tt0005710514/,I Don't Feel at Home in This World Anymore,,"['Melanie Lynskey', 'Elijah Wood', 'David Yow', 'Jane Levy', 'Devon Graye']",Larkin Seiple,"['January 19, 2017', '(', '2017-01-19', ')', '(', 'Sundance', ')', 'February 24, 2017', '(', '2017-02-24', ')', '(United States)']",United States,English,Macon Blair,Netflix,Tomas Vengris,"['Brooke Blair', 'Will Blair']","['Mette-Marie Kongsved', 'Neil Kopp', 'Vincent Savino', 'Anish Savjani']","['Film Science', 'XYZ Films']",Macon Blair,tt0005710,,,2017-01-19,96
6624,https://en.wikipedia.org/wiki/Logan_(film),2017,https://www.imdb.com/title/tt3315342/,Logan,"['Wolverine', 'by', 'Roy Thomas', 'Len Wein', 'John Romita Sr.']","['Hugh Jackman', 'Patrick Stewart', 'Richard E. Grant', 'Boyd Holbrook', 'Stephen Merchant', 'Dafne Keen']",John Mathieson,"['February 17, 2017', '(', '2017-02-17', ')', '(', 'Berlin', ')', 'March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,James Mangold,20th Century Fox,"['Michael McCusker', 'Dirk Westervelt']",Marco Beltrami,"['Hutch Parker', 'Simon Kinberg', 'Lauren Shuler Donner']","['Marvel Entertainment', 'TSG Entertainment', 'Kinberg Genre', 'Hutch Parker Productions', ""The Donners' Company""]",James Mangold,tt3315342,619000000,127000000,2017-02-17,137
6625,https://en.wikipedia.org/wiki/The_Shack_(2017_film),2017,https://www.imdb.com/title/tt2872518/,The Shack,"['The Shack', 'by', 'William Paul Young']","['Sam Worthington', 'Octavia Spencer', 'Avraham Aviv Alush', 'Radha Mitchell', 'Alice Braga', 'Graham Greene', 'Tim McGraw', 'Sumire Matsubara']",Declan Quinn,"['March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,Stuart Hazeldine,Summit Entertainment,William Steinkamp,Aaron Zigman,"['Gil Netter', 'Brad Cummings', 'Quiyun Long', 'Mike Drake', 'William Steinkamp', 'Lani Armstrong Netter']","['Gil Netter Productions', 'Windblown Media']","['John Fusco', 'Andrew Lanham', 'Destin Cretton']",tt2872518,96900000,20000000,2017-01-01,132
6626,https://en.wikipedia.org/wiki/Before_I_Fall_(film),2017,https://www.imdb.com/title/tt1691916/,Before I Fall,"['Before I Fall', 'by', 'Lauren Oliver']","['Zoey Deutch', 'Halston Sage', 'Logan Miller', 'Kian Lawley', 'Elena Kampouris', 'Diego Boneta', 'Jennifer Beals']",Michael Fimognari,"['January 21, 2017', '(', '2017-01-21', ')', '(', 'Sundance', ')', 'March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,Ry Russo-Young,Open Road Films,Joe Landauer,Adam Taylor,"['Matthew Kaplan', 'Brian Robbins', 'Jonathan Shestack']","['Awesomeness Films', 'Jon Shestack Productions']",Maria Maggenti,tt1691916,18900000,5000000,2017-01-21,99
6627,https://en.wikipedia.org/wiki/Table_19,2017,https://www.imdb.com/title/tt1412528/,Table 19,,"['Anna Kendrick', 'Craig Robinson', 'June Squibb', 'Lisa Kudrow', 'Stephen Merchant', 'Tony Revolori', 'Wyatt Russell', 'Amanda Crew']",Ben Richardson,"['March 3, 2017', '(', '2017-03-03', ')']",United States,English,Jeffrey Blitz,Fox Searchlight Pictures,Yana Gorskaya,John Swihart,"['Shawn Levy', 'Tom McNulty', 'Mark Roberts']","['3311 Productions', '21 Laps Entertainment']","['Jay Duplass', 'Mark Duplass', 'Jeffrey Blitz']",tt1412528,5000000,5000000,2017-01-01,87
6628,https://en.wikipedia.org/wiki/The_Last_Word_(2017_film),2017,https://www.imdb.com/title/tt5023260/,The Last Word,,"['Shirley MacLaine', 'Amanda Seyfried']",Eric Koretz,"['January 24, 2017', '(', '2017-01-24', ')', '(', 'Sundance', ')', 'March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,Mark Pellington,Bleecker Street,Julia Wong,Nathan Matthew David,"['Mark Pellington', 'Anne Marie MacKay', 'Kirk D’Amico', 'Aaron Magnani']","['Wondros', 'Myriad Pictures', 'Aaron Magnani Productions']",Stuart Ross Fink,tt5023260,1400000,,2017-01-24,108
6629,https://en.wikipedia.org/wiki/Catfight_(film),2017,https://www.imdb.com/title/tt5294198/,Catfight,,"['Sandra Oh', 'Anne Heche', 'Alicia Silverstone', 'Amy Hill', 'Tituss Burgess', 'Myra Lucretia Taylor', 'Ariel Kavoussi', 'Craig Bierko', 'Dylan Baker']",Zoe White,"['September 9, 2016', '(', '2016-09-09', ')', '(', 'TIFF', ')', 'March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,Onur Tukel,Dark Sky Films,Onur Tukel,,"['Greg Newman', 'Gigi Graff']",MPI Media Group,Onur Tukel,tt5294198,,,2016-01-01,96
6630,https://en.wikipedia.org/wiki/Donald_Cried,2017,https://www.imdb.com/title/tt4442604/,Donald Cried,,"['Kristopher Avedisian', 'Jesse Wakeman', 'Louisa Krause', 'Ted Arcidi']",Sam Fleischner,"['March 12, 2016', '(', '2016-03-12', ')', '(', 'SXSW', ')', 'March 3, 2017', '(', '2017-03-03', ')', '(United States)']",United States,English,Kristopher Avedisian,The Orchard,,,"['Allison Rose Carter', 'Sam Fleischner', 'Kyle Martin']","['Electric Chinoland', 'Rough House Pictures']","['Kyle Espeleta', 'Jesse Wakeman']",tt4442604,61406,,2016-03-12,85
6631,https://en.wikipedia.org/wiki/Kong:_Skull_Island,2017,https://www.imdb.com/title/tt3731562/,Kong: Skull Island,"['King Kong', 'by', 'Merian C. Cooper', 'Edgar Wallace']","['Tom Hiddleston', 'Samuel L. Jackson', 'John Goodman', 'Brie Larson', 'Jing Tian', 'Toby Kebbell', 'John Ortiz', 'Corey Hawkins', 'Jason Mitchell', 'Shea Whigham', 'Thomas Mann', 'Terry Notary', 'John C. Reilly']",Larry Fong,"['February 28, 2017', '(', '2017-02-28', ')', '(', 'Empire, Leicester Square', ')', 'March 10, 2017', '(', '2017-03-10', ')', '(United States)']",United States,English,Jordan Vogt-Roberts,Warner Bros. Pictures,Richard Pearson,Henry Jackman,"['Thomas Tull', 'Mary Parent', 'Jon Jashni', 'Alex Garcia']","['Legendary Pictures', 'Tencent Pictures']",John Gatins,tt3731562,566700000,185000000,2017-02-28,118
6632,https://en.wikipedia.org/wiki/Burning_Sands_(2017_film),2017,https://www.imdb.com/title/tt0005826432/,Burning Sands,,"['Trevor Jackson', 'Alfre Woodard', 'Steve Harris', 'Tosin Cole', 'DeRon Horton', 'Christian Robinson', 'Trevante Rhodes', 'Jay Q Saun', 'Serayah']",Isiah Donté Lee,"['January 24, 2017', '(', '2017-01-24', ')', '(', 'Sundance', ')', 'March 10, 2017', '(', '2017-03-10', ')', '(United States)']",United States,English,Gerard McMurray,Netflix,Evan Schrodek,Kevin Lax,"['Stephanie Allain', 'Jason Michael Berman', 'Reginald Hudlin', 'Mel Jones', 'Camila Tanabe', '(assoc.)', 'Patrick Raymond', '(assoc.)']","['Mandalay Pictures', 'Homegrown Pictures', 'Hudlin Entertainment', 'Freedom Road Productions']","['Gerard McMurray', 'Christine Berg']",tt0005826,,,2017-01-24,102
6633,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2017_film),2017,https://www.imdb.com/title/tt2771200/,Beauty and the Beast,"['Disney', ""'s"", 'Beauty and the Beast', 'by', 'Linda Woolverton', '[1]', 'Beauty and the Beast', 'by', 'Jeanne-Marie Leprince de Beaumont', '[2]']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad', 'Ewan McGregor', 'Stanley Tucci', 'Audra McDonald', 'Gugu Mbatha-Raw', 'Ian McKellen', 'Emma Thompson']",Tobias A. Schliessler,"['February 23, 2017', '(', '2017-02-23', ')', '(', 'Spencer House', ')', 'March 17, 2017', '(', '2017-03-17', ')', '(United States)']",United States,English,Bill Condon,"['Walt Disney Studios', 'Motion Pictures']",Virginia Katz,Alan Menken,"['David Hoberman', 'Todd Lieberman']","['Walt Disney Pictures', 'Mandeville Films']","['Stephen Chbosky', 'Evan Spiliotopoulos']",tt2771200,1264000000,255000000,2017-02-23,129
6634,https://en.wikipedia.org/wiki/The_Belko_Experiment,2017,https://www.imdb.com/title/tt1082807/,The Belko Experiment,,"['John Gallagher Jr.', 'Tony Goldwyn', 'Adria Arjona', 'John C. McGinley', 'Melonie Diaz', 'Josh Brener', 'Michael Rooker']",Luis David Sansas,"['September 10, 2016', '(', '2016-09-10', ')', '(', 'TIFF', ')', 'March 17, 2017', '(', '2017-03-17', ')', '(United States)']",United States,English,Greg McLean,"['Orion Pictures', '[1]', 'BH Tilt', '[1]']",Julia Wong,Tyler Bates,"['Peter Safran', 'James Gunn']","['Troll Court Entertainment', '[1]', 'The Safran Company', '[1]', 'Metro-Goldwyn-Mayer', '[2]', '(uncredited)']",James Gunn,tt1082807,11100000,5000000,2016-09-10,89
6635,https://en.wikipedia.org/wiki/Song_to_Song,2017,https://www.imdb.com/title/tt2062700/,Song to Song,,"['Michael Fassbender', 'Ryan Gosling', 'Rooney Mara', 'Natalie Portman']",Emmanuel Lubezki,"['March 10, 2017', '(', '2017-03-10', ')', '(', 'SXSW', ')', 'March 17, 2017', '(', '2017-03-17', ')', '(United States)']",United States,English,Terrence Malick,Broad Green Pictures,"['Rehman Nizar Ali', 'Hank Corwin', 'Keith Fraase']",,"['Nicolas Gonda', 'Sarah Green', 'Ken Kao']","['Buckeye Pictures', 'Waypoint Entertainment', 'FilmNation Entertainment']",Terrence Malick,tt2062700,1027769,,2017-03-10,129
6636,https://en.wikipedia.org/wiki/Atomica_(film),2017,https://www.imdb.com/title/tt2449638/,Atomica,,"['Dominic Monaghan', 'Tom Sizemore', 'Sarah Habel']",,"['March 17, 2017', '(', '2017-03-17', ')', '(Theatrical)', 'March 21, 2017', '(', '2017-03-21', ')', '(VOD)']",United States,English,Dagen Merrill,Syfy Films,,,"['Jaime Burke', 'Vahan Paretchan']",,"['Kevin Burke', 'Fred Fernandez-Armesto', 'Adam Gyngell']",tt2449638,,,2017-03-17,
6637,https://en.wikipedia.org/wiki/All_Nighter_(film),2017,https://www.imdb.com/title/tt4662420/,All Nighter,,"['J. K. Simmons', 'Emile Hirsch', 'Taran Killam', 'Kristen Schaal', 'Analeigh Tipton']",Seamus Tierney,"['March 17, 2017', '(', '2017-03-17', ')', '(United States)']",United States,English,Gavin Wiesen,Good Deed Entertainment,Terel Gibson,Alec Puro,"['Josh Crook', 'P. Jennifer Dana', 'Adi Ezroni', 'Mandy Tagger']","['Spring Pictures', 'Wing and a Prayer Pictures', 'Abbolita Films', 'Heretic Films']",Seth W. Owen,tt4662420,96119,,2017-03-17,86
6638,https://en.wikipedia.org/wiki/The_Devil%27s_Candy,2017,https://www.imdb.com/title/tt4935372/,The Devil's Candy,,"['Ethan Embry', 'Shiri Appleby', 'Kiara Glasco', 'Pruitt Taylor Vince']",Simon Chapman,"['September 13, 2015', '(', '2015-09-13', ')', '(', 'TIFF', ')', 'March 17, 2017', '(', '2017-03-17', ')', '(United States)']",United States,English,Sean Byrne,IFC Midnight,Andy Canny,Michael Yezerski,"['Jess Calder', 'Keith Calder']",Snoot Entertainment,Sean Byrne,tt4935372,,,2015-09-13,79
6639,https://en.wikipedia.org/wiki/Power_Rangers_(film),2017,https://www.imdb.com/title/tt3717490/,Saban's Power Rangers,"['Power Rangers', 'by', 'Haim Saban', 'Shuki Levy', '(uncredited)', '[', 'citation needed', ']', 'Super Sentai', 'by', 'Toei Company']","['Dacre Montgomery', 'Naomi Scott', 'RJ Cyler', 'Becky G', 'Ludi Lin', 'Bill Hader', 'Bryan Cranston', 'Elizabeth Banks']",Matthew J. Lloyd,"['March 22, 2017', '(', '2017-03-22', ')', '(', 'Regency Village Theater', ')', 'March 24, 2017', '(', '2017-03-24', ')', '(United States)']",United States,English,Dean Israelite,"['Lionsgate (United States)', '[1]', 'Toei (Japan)', '[1]']","['Martin Bernfeld', 'Dody Dorn']",Brian Tyler,"['Haim Saban', 'Brian Casentini', 'Marty Bowen', 'Wyck Godfrey']","['Lionsgate', '[1]', 'Saban Brands', '[1]', 'Temple Hill Entertainment', '[1]']","['Matt Sazama', 'Burk Sharpless', 'Michele Mulroney', 'Kieran Mulroney']",tt3717490,142300000,105000000,2017-03-22,121
6640,https://en.wikipedia.org/wiki/Life_(2017_film),2017,https://www.imdb.com/title/tt5442430/,Life,,"['Jake Gyllenhaal', 'Rebecca Ferguson', 'Ryan Reynolds', 'Hiroyuki Sanada', 'Ariyon Bakare', 'Olga Dihovichnaya']",Seamus McGarvey,"['March 18, 2017', '(', '2017-03-18', ')', '(', 'SXSW', ')', 'March 24, 2017', '(', '2017-03-24', ')', '(United States)']",United States,"English, Vietnamese, Japanese",Daniel Espinosa,Sony Pictures Releasing,"['Frances Parker', 'Mary Jo Markey']",Jon Ekstrand,"['David Ellison', 'Dana Goldberg', 'Bonnie Curtis', 'Julie Lynn']","['Columbia Pictures', '[1]', 'Skydance Media', '[1]', 'Mockingbird Pictures', '(uncredited)', '[1]']","['Rhett Reese', 'Paul Wernick']",tt5442430,100500000,62000000,2017-03-18,104
6641,https://en.wikipedia.org/wiki/CHiPs_(film),2017,https://www.imdb.com/title/tt0493405/,Chips,"['CHiPs', 'by', 'Rick Rosner']","['Dax Shepard', 'Michael Peña', 'Rosa Salazar', 'Adam Brody', ""Vincent D'Onofrio""]",Mitchell Amundsen,"['March 20, 2017', '(', '2017-03-20', ')', '(', 'TCL Chinese Theatre', ')', 'March 24, 2017', '(', '2017-03-24', ')', '(United States)']",United States,English,Dax Shepard,Warner Bros. Pictures,Dan Lebental,Fil Eisler,"['Andrew Panay', 'Ravi Mehta']",Primate Pictures,Dax Shepard,tt0493405,26800000,25000000,2017-03-20,101
6642,https://en.wikipedia.org/wiki/Wilson_(2017_film),2017,https://www.imdb.com/title/tt1781058/,Wilson,"['Wilson', 'by Daniel Clowes']","['Woody Harrelson', 'Laura Dern', 'Isabella Amara', 'Judy Greer', 'Cheryl Hines']",Frederick Elmes,"['January 22, 2017', '(', '2017-01-22', ')', '(', 'Sundance', ')', 'March 24, 2017', '(', '2017-03-24', ')', '(United States)']",United States,English,Craig Johnson,Fox Searchlight Pictures,Paul Zucker,Jon Brion,"['Jared Ian Goldman', 'Mary Jane Skalski']",,Daniel Clowes,tt1781058,653951,5000000,2017-01-22,101
6643,https://en.wikipedia.org/wiki/Car_Dogs,2017,https://www.imdb.com/title/tt3207376/,Car Dogs,,"['Patrick J. Adams', 'Alessandra Torresani', 'Octavia Spencer', 'Dash Mihok', 'Stefanie Butler', 'Josh Hopkins', 'Nia Vardalos', 'Cory Hardrict', 'Chris Mulkey', 'George Lopez']",David Stump,"['April 17, 2016', '(', '2016-04-17', ')', '(Sarasota Film Festival)']",United States,English,Adam Collis,,Nicholas Ramirez,Galactic,"['Adam Collis', 'Stefanie Epstein', 'Mark Edward King', 'Adam Robinson', 'F. Miguel Valenti']",,Mark Edward King,tt3207376,,,2016-04-17,104
6644,https://en.wikipedia.org/wiki/Ghost_in_the_Shell_(2017_film),2017,https://www.imdb.com/title/tt1219827/,Ghost in the Shell,"['Ghost in the Shell', 'by', 'Masamune Shirou']","['Scarlett Johansson', 'Michael Carmen Pitt', 'Pilou Asbæk', 'Chin Han', 'Juliette Binoche']",Jess Hall,"['March 16, 2017', '(', '2017-03-16', ')', '(', 'Shinjuku', ')', 'March 31, 2017', '(', '2017-03-31', ')', '(United States)']",United States,"['English', 'Japanese']",Rupert Sanders,Paramount Pictures,"['Neil Smith', 'Billy Rich']","['Clint Mansell', '[1]', 'Lorne Balfe']","['Avi Arad', 'Steven Paul', 'Michael Costigan']","['DreamWorks Pictures', '[2]', 'Reliance Entertainment', '[3]', 'Arad Productions', '[2]']","['Jamie Moss', 'William Wheeler', 'Ehren Kruger']",tt1219827,169800000,110000000,2017-03-16,106
